,Code,Name,Country,Exchange,Currency,Type,Isin
16162,FSTR,LB Foster Company,USA,NASDAQ,USD,Common Stock,US3500601097
16165,FSTTF,First Tellurium Corp,USA,OTCQB,USD,Common Stock,
16174,FSUGY,Fortescue Metals Group Ltd ADR,USA,OTCQX,USD,Common Stock,US34959A2069
16178,FSUMF,Fortescue Metals Group Ltd,USA,OTCQX,USD,Common Stock,AU000000FMG4
16180,FSUN,FirstSun Capital Bancorp,USA,OTCQX,USD,Common Stock,
16189,FSV,FirstService Corp,USA,NASDAQ,USD,Common Stock,CA33767E2024
16191,FSVEF,Firestone Ventures Inc,USA,PINK,USD,Common Stock,
16211,FSWA,First Sound Bank,USA,PINK,USD,Common Stock,
16245,FSXLF,Fosterville South Exploration Ltd,USA,OTCQX,USD,Common Stock,
16309,FT,Franklin Universal Closed Fund,USA,NYSE,USD,Common Stock,US3551451038
16319,FTAI,Fortress Transp & Infra Inv,USA,NASDAQ,USD,Common Stock,US34960P1012
16320,FTAIM,FTAI Aviation Ltd. 9.500% Fixed-Rate Reset Series D Cumulative Perpetual Redeemable Preferred Shares,USA,NASDAQ,USD,Preferred Stock,
16321,FTAIN,Fortress Transportation and Preferred Series C,USA,NASDAQ,USD,Common Stock,US34960P4081
16322,FTAIO,Fortress Transportation and Preferred Series B,USA,NASDAQ,USD,Common Stock,US34960P3091
16323,FTAIP,Fortress Transportation and Preferred Series A,USA,NASDAQ,USD,Common Stock,US34960P2002
16336,FTBYF,Fortune Bay Corp,USA,OTCQX,USD,Common Stock,
16342,FTCH,Farfetch Ltd Class A,USA,NYSE,USD,Common Stock,KY30744W1070
16344,FTCI,FTC Solar Inc,USA,NASDAQ,USD,Common Stock,US30320C1036
16349,FTCO,Fortitude Gold Corp,USA,OTCQB,USD,Common Stock,US34962K1007
16359,FTDL,FirsTime Design Ltd,USA,PINK,USD,Common Stock,US33766M1062
16363,FTDR,Frontdoor Inc,USA,NASDAQ,USD,Common Stock,US35905A1097
16372,FTEG,For The Earth Corp,USA,PINK,USD,Common Stock,US34512L2025
16376,FTEK,Fuel Tech Inc,USA,NASDAQ,USD,Common Stock,US3595231073
16385,FTFI,First Berlin Bancorp Inc.,USA,OTCMKTS,USD,Common Stock,
16388,FTFT,Future Fintech Group Inc,USA,NASDAQ,USD,Common Stock,US36117V1052
16390,FTFY,Fit After Fifty Inc,USA,OTCCE,USD,Common Stock,
16394,FTGFF,Firan Technology Group Corporation,USA,PINK,USD,Common Stock,
16420,FTHM,Fathom Holdings Inc,USA,NASDAQ,USD,Common Stock,US31189V1098
16424,FTHY,First Trust High Yield Opportunities 2027 Term Fund,USA,NYSE,USD,Common Stock,
16425,FTI,TechnipFMC PLC,USA,NYSE,USD,Common Stock,GB00BDSFG982
16432,FTII,Futuretech II Acquisition Corp,USA,NASDAQ,USD,Common Stock,US36119D1037
16433,FTIIU,Futuretech II Acquisition Corp Unit,USA,NASDAQ,USD,Unit,US36119D2027
16434,FTIIW,FutureTech II Acquisition Corp. Warrant,USA,NASDAQ,USD,Common Stock,
16442,FTK,Flotek Industries Inc,USA,NYSE,USD,Common Stock,US3433891021
16449,FTLF,FitLife Brands Inc,USA,PINK,USD,Common Stock,US33817P2074
16457,FTMDF,Fortune Minerals Limited,USA,PINK,USD,Common Stock,
16463,FTNT,Fortinet Inc,USA,NASDAQ,USD,Common Stock,US34959E1091
16473,FTPM,420 Property Management Inc,USA,PINK,USD,Common Stock,US35104N1000
16483,FTRE,Fortrea Holdings Inc.,USA,NASDAQ,USD,Common Stock,
16484,FTREV,Fortrea Holdings Inc. Common Stock When Issued,USA,PINK,USD,Common Stock,
16494,FTRS,Futuris Company,USA,PINK,USD,Common Stock,
16495,FTRSF,Fortis Inc. CUM RD 5Y SR G,USA,PINK,USD,Common Stock,
16498,FTS,Fortis Inc,USA,NYSE,USD,Common Stock,CA3495531079
16523,FTV,Fortive Corp,USA,NYSE,USD,Common Stock,US34959J1088
16531,FTWO,EA Series Trust,USA,NYSE ARCA,USD,Common Stock,
16533,FTWS,Flitways Technology Inc,USA,PINK,USD,Common Stock,US33972Q1076
